book,bookLabel,authorLabel,publisherLabel,countryLabel,year,languageLabel,genreLabel
http://www.wikidata.org/entity/Q28428151,Приграничье,Артур Бертрам Чендлер,Avalon Books,США,1961,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3612357,Red Alert,Питер Джордж,Boardman Books,Великобритания,1958,британский вариант английского языка,научная фантастика
http://www.wikidata.org/entity/Q513228,Туманность Андромеды,Иван Антонович Ефремов,Молодая гвардия,Россия,1957,русский язык,научная фантастика
http://www.wikidata.org/entity/Q3107329,Автостопом по галактике,Дуглас Адамс,Pan Books,Великобритания,1979,британский вариант английского языка,научная фантастика
http://www.wikidata.org/entity/Q7897672,Until the Celebration,Zilpha Keatley Snyder,Atheneum Books,США,1977,английский язык,фэнтези
http://www.wikidata.org/entity/Q17041125,Talisman of Death,Марк Смит,Puffin Books,Великобритания,1985,английский язык,фэнтези
http://www.wikidata.org/entity/Q23307461,Omnibus of Science Fiction,Айзек Азимов,Crown Publishing Group,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7962654,Wall of Serpents,Лайон Спрэг де Камп,Avalon Books,США,1960,английский язык,фэнтези
http://www.wikidata.org/entity/Q20874643,The Many Worlds of Poul Anderson,Пол Уильям Андерсон,Chilton Company,США,1974,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7744144,The Kestrel,Ллойд Александер,Dutton,США,1982,английский язык,фэнтези
http://www.wikidata.org/entity/Q5700937,Наследница Моря и Огня,Патриция Маккиллип,Atheneum Books,США,1977,английский язык,фэнтези
http://www.wikidata.org/entity/Q7632038,Subspace Explorers,Эдвард Элмер Смит,Canaveral Press,США,1965,английский язык,научная фантастика
http://www.wikidata.org/entity/Q2190756,Киборг,Мартин Кейдин,Arbor House,США,1972,английский язык,научная фантастика
http://www.wikidata.org/entity/Q1809069,Языки Пао,Джек Вэнс,Avalon Books,США,1958,английский язык,научная фантастика
http://www.wikidata.org/entity/Q17031290,Scorpion Swamp,Стив Джексон,Puffin Books,Великобритания,1984,английский язык,фэнтези
http://www.wikidata.org/entity/Q23307461,Omnibus of Science Fiction,Рэй Брэдбери,Crown Publishing Group,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q4034857,Barlowe's Guide to Extraterrestrials,Уэйн Барлоу,Workman Publishing Company,США,1979,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7897672,Until the Celebration,Zilpha Keatley Snyder,Atheneum Books,США,1977,английский язык,научная фантастика
http://www.wikidata.org/entity/Q23307461,Omnibus of Science Fiction,Армин Дейч,Crown Publishing Group,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q721,"Жизнь, Вселенная и всё остальное",Дуглас Адамс,Pan Books,Великобритания,1982,английский язык,фэнтези
http://www.wikidata.org/entity/Q3481184,Shadrach in the Furnace,Роберт Силверберг,Bobbs-Merrill Company,США,1976,английский язык,научная фантастика
http://www.wikidata.org/entity/Q16385744,Freeway Fighter,Ян Ливингстон,Puffin Books,Великобритания,1985,английский язык,фэнтези
http://www.wikidata.org/entity/Q3235592,Ведьмы Карреса,Джеймс Шмиц,Chilton Company,США,1966,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3819987,Out of This World,Мюррей Лейнстер,Avalon Books,США,1958,английский язык,научная фантастика
http://www.wikidata.org/entity/Q28419248,Gates to Tomorrow,различные авторы,Atheneum Books,США,1973,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7755671,Изгои Марса,Otis Adelbert Kline,Avalon Books,США,1961,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3984540,Westmark,Ллойд Александер,Dutton,США,1981,английский язык,фэнтези
http://www.wikidata.org/entity/Q7758618,The Proteus Operation,James P. Hogan,Bantam Spectra,США,1985,английский язык,научная фантастика
