bookLabel,authorLabel,publisherLabel,countryLabel,year,languageLabel
The Year's Best Fantasy Stories: 2,Лин Картер,DAW Books,США,1976,английский язык
The Shattered Chain,Мэрион Зиммер Брэдли,DAW Books,США,1976,английский язык
The Year's Best Fantasy Stories: 3,Лин Картер,DAW Books,США,1977,английский язык
The Forbidden Tower,Мэрион Зиммер Брэдли,DAW Books,США,1977,английский язык
The Year's Best Fantasy Stories: 4,Лин Картер,DAW Books,США,1978,английский язык
The Year's Best Fantasy Stories: 5,Лин Картер,DAW Books,США,1980,английский язык
Пыточных дел мастер,Джин Вулф,Simon & Schuster,США,1980,английский язык
The Year's Best Fantasy Stories: 6,Лин Картер,DAW Books,США,1980,английский язык
High Couch of Silistra,Janet Morris,Bantam Books,США,1977,английский язык
The House of the Worm,Гари Майерс,Arkham House,США,1975,английский язык
The Horror at Oakdeene and Others,Брайан Ламли,Arkham House,США,1977,английский язык
"And Afterward, the Dark",Бэзил Коппер,Arkham House,США,1977,английский язык
"Огонь и заклятие, или Восемь дней с Люком",Диана Уинн Джонс,Macmillan Publishers,Великобритания,1975,английский язык
Half in Shadow,Mary Elizabeth Counselman,Arkham House,США,1978,английский язык
The Vampire Tapestry,Сюзи Макки Чарнас,Simon & Schuster,США,1980,английский язык
Волшебник Зао,Лин Картер,DAW Books,США,1978,английский язык
Сын менестреля,Диана Уинн Джонс,Macmillan Publishers,Великобритания,1975,английский язык
Hawk of May,Gillian Bradshaw,Simon & Schuster,США,1980,английский язык
Dogsbody,Диана Уинн Джонс,Macmillan Publishers,Великобритания,1975,английский язык
Рука Оберона,Роджер Желязны,Doubleday,США,1976,английский язык
Повести Невериона,Сэмюэль Дилэни,Bantam Books,США,1979,английский язык
Harrigan's File,Август Дерлет,Arkham House,США,1975,английский язык
Пожиратели мёртвых,Майкл Крайтон,Alfred A. Knopf,США,1976,английский язык
Наблюдатели,Август Дерлет,Arkham House,США,1974,английский язык
Колдуны Мозга Каллисто,Лин Картер,Dell Publishing,США,1975,английский язык
Кровавая комната,Анджела Картер,Victor Gollancz,Великобритания,1979,английский язык
"Здравствуй, лето… и прощай",Майкл Коуни,Victor Gollancz,Великобритания,1975,английский язык
Kindred,Октавия Батлер,Doubleday,США,1979,английский язык
In the Mist and Other Uncanny Encounters,Elizabeth Walter,Arkham House,США,1979,английский язык
Туман,Стивен Кинг,Viking Press,США,1980,американский вариант английского языка
Mahars of Pellucidar,John Eric Holmes,Ace Books,США,1976,английский язык
The Compleat Enchanter,Лайон Спрэг де Камп,Doubleday,США,1975,английский язык
The Barbarian of World's End,Лин Картер,DAW Books,США,1977,английский язык
Противостояние,Стивен Кинг,Doubleday,США,1978,английский язык
The Girl in a Swing,Ричард Адамс,Viking Press,США,1980,английский язык
Вниз по великой реке,Диана Уинн Джонс,Macmillan Publishers,Великобритания,1979,английский язык
The Ogre Downstairs,Диана Уинн Джонс,Macmillan Publishers,Великобритания,1974,английский язык
Dwellers in Darkness,Август Дерлет,Arkham House,США,1976,английский язык
Poems and Stories,Джон Рональд Руэл Толкин,George Allen & Unwin,Великобритания,1980,английский язык
Владения Хаоса,Роджер Желязны,Doubleday,США,1978,английский язык
Kecksies and Other Twilight Tales,Марджори Боуэн,Arkham House,США,1976,английский язык
Закат Зелёной Звезды,Лин Картер,DAW Books,США,1976,английский язык
Гримус,Салман Рушди,Victor Gollancz,Великобритания,1975,английский язык
Dragons of Light,Орсон Скотт Кард,Ace Books,США,1980,английский язык
Necropolis,Бэзил Коппер,Arkham House,США,1980,английский язык
Дракон и Джордж,Гордон Диксон,Doubleday,США,1976,английский язык
Wild Seed,Октавия Батлер,Doubleday,США,1980,английский язык
The Princess of All Lands,Расселл Керк,Arkham House,США,1979,английский язык
The Vampire Tapestry,Сюзи Макки Чарнас,Simon & Schuster,США,1980,американский вариант английского языка
The Compleat Enchanter,Флетчер Прэтт,Doubleday,США,1975,английский язык
