book,bookLabel,author,authorLabel,genreLabel,pubDate,publisherLabel
http://www.wikidata.org/entity/Q603705,...Яко помниши его,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1974-05-01T00:00:00Z,
http://www.wikidata.org/entity/Q427110,Пересадочная станция,http://www.wikidata.org/entity/Q294625,Клиффорд Дональд Саймак,научная фантастика,1963-06-01T00:00:00Z,Doubleday
http://www.wikidata.org/entity/Q1114499,Пасынки Вселенной,http://www.wikidata.org/entity/Q123078,Роберт Хайнлайн,научная фантастика,1963-01-01T00:00:00Z,Victor Gollancz
http://www.wikidata.org/entity/Q617357,Убик,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1969-01-01T00:00:00Z,Doubleday
http://www.wikidata.org/entity/Q388200,The Bloody Sun,http://www.wikidata.org/entity/Q465179,Мэрион Зиммер Брэдли,научная фантастика,1964-01-01T00:00:00Z,Ace Books
http://www.wikidata.org/entity/Q194619,Плоть,http://www.wikidata.org/entity/Q296256,Филип Хосе Фармер,научная фантастика,1960-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117431,Ада,http://www.wikidata.org/entity/Q36591,Владимир Владимирович Набоков,научная фантастика,1969-01-01T00:00:00Z,McGraw Hill Book Company
http://www.wikidata.org/entity/Q1138582,Трансмиграция Тимоти Арчера,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1982-03-01T00:00:00Z,Timescape Books
http://www.wikidata.org/entity/Q224965,Гримус,http://www.wikidata.org/entity/Q44306,Салман Рушди,научная фантастика,1975-01-01T00:00:00Z,Victor Gollancz
http://www.wikidata.org/entity/Q437383,Мессия Дюны,http://www.wikidata.org/entity/Q7934,Фрэнк Герберт,научная фантастика,1969-01-01T00:00:00Z,G. P. Putnam's Sons
http://www.wikidata.org/entity/Q537659,АРМ,http://www.wikidata.org/entity/Q316610,Ларри Нивен,научная фантастика,1975-11-01T00:00:00Z,
http://www.wikidata.org/entity/Q282814,Капитул Дюны,http://www.wikidata.org/entity/Q7934,Фрэнк Герберт,научная фантастика,1985-03-01T00:00:00Z,
http://www.wikidata.org/entity/Q372894,Час Быка,http://www.wikidata.org/entity/Q54828,Иван Антонович Ефремов,научная фантастика,1970-01-01T00:00:00Z,Молодая гвардия
http://www.wikidata.org/entity/Q1928866,Схизматрица,http://www.wikidata.org/entity/Q312995,Брюс Стерлинг,научная фантастика,1985-06-01T00:00:00Z,Arbor House
http://www.wikidata.org/entity/Q1212160,Радуга тяготения,http://www.wikidata.org/entity/Q35155,Томас Пинчон,научная фантастика,1973-02-28T00:00:00Z,Penguin Books
http://www.wikidata.org/entity/Q389750,Сами боги,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1972-01-01T00:00:00Z,Doubleday
http://www.wikidata.org/entity/Q1760824,Повелительница ястреба,http://www.wikidata.org/entity/Q465179,Мэрион Зиммер Брэдли,научная фантастика,1982-09-01T00:00:00Z,DAW Books
http://www.wikidata.org/entity/Q538742,За синим горизонтом событий,http://www.wikidata.org/entity/Q312641,Фредерик Пол,научная фантастика,1980-02-01T00:00:00Z,Del Rey Books
http://www.wikidata.org/entity/Q1131423,Бегство Логана,http://www.wikidata.org/entity/Q325422,Джордж Клейтон Джонсон,научная фантастика,1967-01-01T00:00:00Z,Dial Press
http://www.wikidata.org/entity/Q1973586,Хозяева драконов,http://www.wikidata.org/entity/Q312632,Джек Вэнс,научная фантастика,1962-08-01T00:00:00Z,Ace Books
http://www.wikidata.org/entity/Q853427,The Belonging Kind,http://www.wikidata.org/entity/Q188987,Уильям Гибсон,научная фантастика,1981-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1083082,The Atrocity Exhibition,http://www.wikidata.org/entity/Q140201,Джеймс Баллард,научная фантастика,1970-01-01T00:00:00Z,Doubleday
http://www.wikidata.org/entity/Q1212160,Радуга тяготения,http://www.wikidata.org/entity/Q35155,Томас Пинчон,научная фантастика,1973-02-28T00:00:00Z,Bantam Books
http://www.wikidata.org/entity/Q651225,Лучший друг,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1975-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1760447,Thendara House,http://www.wikidata.org/entity/Q465179,Мэрион Зиммер Брэдли,научная фантастика,1983-09-01T00:00:00Z,DAW Books
http://www.wikidata.org/entity/Q190192,Дюна,http://www.wikidata.org/entity/Q7934,Фрэнк Герберт,научная фантастика,1965-01-01T00:00:00Z,Debolsillo
