author,pseudonymLabel,birthDate,deathDate,spouseLabel,citizenshipLabel,genreLabel
http://www.wikidata.org/entity/Q34981,Paul French,1920-01-02T00:00:00Z,1992-04-06T00:00:00Z,Джанет Азимова,РСФСР,научная фантастика
http://www.wikidata.org/entity/Q188987,,1948-03-17T00:00:00Z,,,США,научная фантастика
http://www.wikidata.org/entity/Q28147,Felix Ritter,1926-05-31T00:00:00Z,1997-08-02T00:00:00Z,,Германия,научная фантастика
http://www.wikidata.org/entity/Q28147,Markus Polder,1926-05-31T00:00:00Z,1997-08-02T00:00:00Z,,Германия,научная фантастика
http://www.wikidata.org/entity/Q183397,,1915-06-24T00:00:00Z,2001-08-20T00:00:00Z,,Великобритания,научная фантастика
http://www.wikidata.org/entity/Q44306,,1947-06-19T00:00:00Z,,Elizabeth West,Великобритания,научная фантастика
http://www.wikidata.org/entity/Q378807,,1934-09-24T00:00:00Z,1995-08-25T00:00:00Z,Liyi Tan,Великобритания,научная фантастика
http://www.wikidata.org/entity/Q378807,,1934-09-24T00:00:00Z,1995-08-25T00:00:00Z,Marjorie Rosamond Sauer,Великобритания,научная фантастика
http://www.wikidata.org/entity/Q312641,,1919-11-26T00:00:00Z,2013-09-02T00:00:00Z,Elizabeth Anne Hull,США,научная фантастика
http://www.wikidata.org/entity/Q44306,,1947-06-19T00:00:00Z,,Marianne Wiggins,Великобритания,научная фантастика
http://www.wikidata.org/entity/Q44306,,1947-06-19T00:00:00Z,,Падма Лакшми,Индия,научная фантастика
http://www.wikidata.org/entity/Q132524,Ayn Rand,1905-02-02T00:00:00Z,1982-03-06T00:00:00Z,Фрэнк О’Коннор,СССР,научная фантастика
http://www.wikidata.org/entity/Q44306,,1947-06-19T00:00:00Z,,Rachel Eliza Griffiths,Великобритания,фэнтези
http://www.wikidata.org/entity/Q892,Oxymore,1892-01-03T00:00:00Z,1973-09-02T00:00:00Z,Эдит Толкин,Великобритания,фэнтези
http://www.wikidata.org/entity/Q171091,Jack Dowland,1928-12-16T00:00:00Z,1982-03-02T00:00:00Z,Tessa B. Dick,США,научная фантастика
http://www.wikidata.org/entity/Q171091,Richard Phillipps,1928-12-16T00:00:00Z,1982-03-02T00:00:00Z,Tessa B. Dick,США,научная фантастика
http://www.wikidata.org/entity/Q363810,,1952-02-29T00:00:00Z,,,США,фэнтези
http://www.wikidata.org/entity/Q7934,,1920-10-08T00:00:00Z,1986-02-11T00:00:00Z,Flora Lillian Parkinson,США,научная фантастика
http://www.wikidata.org/entity/Q7934,,1920-10-08T00:00:00Z,1986-02-11T00:00:00Z,Theresa Diane Shackelford,США,научная фантастика
http://www.wikidata.org/entity/Q312641,,1919-11-26T00:00:00Z,2013-09-02T00:00:00Z,Dorothy Les Tina,США,научная фантастика
http://www.wikidata.org/entity/Q181677,,1948-09-20T00:00:00Z,,,США,фэнтези
http://www.wikidata.org/entity/Q132524,Ayn Rand,1905-02-02T00:00:00Z,1982-03-06T00:00:00Z,Фрэнк О’Коннор,апатрид,научная фантастика
http://www.wikidata.org/entity/Q54828,,1908-04-23T00:00:00Z,1972-10-05T00:00:00Z,,Российская империя,научная фантастика
http://www.wikidata.org/entity/Q44306,,1947-06-19T00:00:00Z,,Clarissa Luard,США,фэнтези
http://www.wikidata.org/entity/Q1358834,,1891-06-14T00:00:00Z,1977-07-01T00:00:00Z,,Российская империя,фэнтези
http://www.wikidata.org/entity/Q44306,,1947-06-19T00:00:00Z,,Падма Лакшми,Великобритания,фэнтези
